,10kx10k,10kx30k,20kx10k,20kx30k,30kx10k,30kx30k
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"66368626480,66952948203,66770842641,66520609070,80845120027,84841916006","198689197738,200109926480,203249951831,208011275184,211034376050,198500645280","265213976738,264818796247,266227513968,265809519351,295015083356,268399803451","793975297053,799729914296,798097162259,795744276082,848380177789,927826215995","596536097624,595469107616,601030924295,607771632272,627213429393,603799641757","1785858431224,1779583997951,1787889737083,1842220709468,1924315149129,1907320323234"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"31179,15769,115967,91632,31943035635,330075","126393,435953,139151590138,947965,32143791414,68250628001","503683,447942,133503727321,111016562777,78524187442,1389215","1195487,12806266,333160145371,379378263872,357662662845,18314255","2678621,3683824,302629068258,1921649,2856179,106969205072","8024005,43489673,1047737113890,564575662277,872961844037,270820881991"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"563729532,514251511,11928769622,517147340,18888441901,34229001241","1565655106,1416532334,87410499566,1421587623,81530429566,78043058538","2028450552,1805240032,1806470057,1809237832,222433222516,1871968696","5583267789,4915839250,267397049084,465283745975,4929637839,464416719335","4394189420,450359568658,3878879660,3880637944,3893713675,67634248011","12052916170,10484508231,1203737217765,1330924240407,404450740786,435565953965"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"545,16853591105,5684,48335213483,21418956171,22678","3878,7779,104110240244,79483580136,47682251621,25544013098","1996,7263,156211683280,69509341390,105271068871,87544","11593,602508703166,269595934300,83582,83713263081,351676313074","12713,152453794391,452676565255,337773741685,352488603316,119875537021","67198,62426,898809347985,754919380609,229269,202796"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"5482995594,5944332780,7467272588,56977646757,54781769652,66537598558","18829950263,156769398143,56675822031,88364671112,90784346681,310874185602","31376651892,23943099348,43109624375,58863099896,118500212625,187887350794","77643263630,624249693418,77557174450,379255221535,414152856352,577422612251","45771916970,189784569440,330095772142,259286469116,455106857195,474641011701","136681022800,165409975879,168378075580,594141735214,1443619732256,1593762592187"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1241171891,993427750,51894451778,44399348993,7341225536,26231570798","2743979812,1966909872,3491830778,38663065445,40326448470,49560465816","3919978582,2881637291,157810891156,73744086715,174888671292,28897988632","8154260586,203527782946,668822184070,510718222762,27005364885,391258353145","9351680869,156418543878,9226296436,11204326547,25356103357,512279450191","20249015649,12808836112,757881044110,113624128484,82284296763,584928173466"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"1158286245,904780346,1185629596,1741339485,3595707813,5710400219","2502084469,1794233237,2512783909,3842104280,6657402963,9880902246","3360521430,2450892795,135163542902,4288011289,9545778419,139997563927","7006372426,202826161864,471864157949,383547063197,15008154644,197899598646","8714569636,156298706738,156069439159,10174867134,19189102470,28083380380","18700959703,456970495369,1052908822915,111297233414,786619501198,779806421428"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1368878415,1505890914,2149281715,4122297020,17070969945,36008478847","4129950488,4572981437,8093978865,101091320528,167050047085,167124420234","6370696044,4758443737,114333958670,10040635230,105222657060,286337710673","15023596188,17246889161,342403927246,38107608484,845924846661,381075578311","9812312892,451575540200,14298052453,19064881725,170125341680,329946998865","26141031739,30960557375,32834099820,258222721752,1057019415856,716861936426"
CYCLE_ACTIVITY:STALLS_L2_MISS,"929962758,50481214402,40477266176,1765439797,7220232627,21008075797","2032598431,1613343595,54014697061,169329227509,18997998058,46897921183","3006939922,2293609547,2830884384,4615394026,82367282115,162718991924","6226910407,4954440767,4416772076,469379809417,273137290462,667359560176","6886573273,5418293011,355718508056,9553497744,236507973114,307542781810","15212242980,10506512446,158894541123,19654967143,820052536715,1334154029655"
CYCLE_ACTIVITY:STALLS_L3_MISS,"902263323,33886674815,23625528303,58309128854,3430254792,47608262489","1931994690,51664404909,2081506309,14953358541,115030032292,83520661238","2826056075,2117258295,24894498254,209512073625,56091358743,170825413653","5835293744,4623416556,668025952108,133015606956,160023451856,143374845089","6665159359,155297722840,404596890033,9008787140,17725048929,27095629458","14671770684,9753475027,1052032259711,1432692204343,29068183203,29354489305"
RESOURCE_STALLS,"9889279314,10724968204,40402306505,15889473663,52894006954,87092929439","29995528232,76089367966,123554354727,57514539266,159855318736,253100595545","40924517800,41957227441,42061143905,175660771863,169317099907,207384498088","117880655930,130805069762,124993022607,639068794439,578173834171,707583085238","83203901015,92826608313,476185078769,106346224889,423114067869,357810557308","265612075553,644587435823,1417990816020,827898267978,766812216455,1728659374935"
L2_RQSTS:ALL_DEMAND_DATA_RD,"440463294,474950193,568488898,759957817,1401457015,1470031992","1337871945,1482810065,1812298696,2910089572,4229781501,6468773044","1894985730,1917048471,2053509879,2648605905,6797100146,4656478136","5871398762,6597507768,6716706373,9024510976,19713696560,26451012669","3940850110,4143095607,4900826405,5283175991,7486026737,7952315526","10373866328,14570438775,14546691774,22955499890,40701893697,48601365421"
L2_RQSTS:DEMAND_DATA_RD_HIT,"425702960,33690947082,23175703836,25993795617,11610580487,32702607978","1307768185,51618560478,70588769318,136151876298,96939216465,6641069572","1878689977,1912138251,135336574490,16290032279,25877309444,261865816141","5946791799,6545880133,205146157011,425617018122,610318465748,656735125385","3813686308,155371688062,253272392133,35832278940,7436928000,366002013427","9801281631,13505604592,14430768419,680359379959,312592138440,48325108180"
L2_RQSTS:DEMAND_DATA_RD_MISS,"14516555,8565846,11388034,11948635,20239133,30862259","30696333,12759404,17121451,18853966,35494730,55060407","32850515,22513801,23954329,32051851,38554441,68797351","67335644,33133521,31799731,57554283,53622278,107454802","126622528,71789408,86060558,84963835,131545706,165047404","257589823,93901462,101402754,112343757,199420335,203886917"
L2_RQSTS:ALL_RFO,"49588726,29340610,28977908,31849149,49276598,70797261","123995710,63470059,61765050,72237692,120404904,150754367","148181916,81524900,82598881,84824496,91043247,90726835","346140000,145828052,149298431,150595558,169244329,175595541","298754163,159813599,160400014,164458814,165421989,169626362","675268151,259237744,256815042,267574646,272667570,275837082"
L2_RQSTS:RFO_HIT,"35377583,23146606,22141602,23631846,29688752,35264185","82676253,46903725,43165130,49117880,60668849,76307599","115290656,67175269,68333844,68468906,72138061,71364548","253636423,111997785,110598725,111343838,118341463,118240835","250102407,136969186,138647585,141381775,141894064,141904507","532545948,209013685,204775862,209813797,209595808,207524308"
L2_RQSTS:RFO_MISS,"14208479,6032064,45971899538,36712668938,21177573400,14434781222","41318516,50404461802,18222194,24094995,59284091,231087988318","32876432,14280926,14126523,96658790631,18917963,232944949478","92504358,34055312,38393502,633887183341,52809409,159178690155","48677613,22815688,300685426087,245365927239,23638085,27919758","142737215,51585170,52122840,1141874819137,63052459,67796106"
L2_RQSTS:ALL_CODE_RD,"454626,640578,1061952,971613,1670482,1889978","1191913,1289900,1888658,2692093,3767634,4098393","1824452,2483866,3982244,3705132,6228338,6366305","4720089,5117353,7253917,10488179,14440095,13847670","4136627,5845695,8586215,8216798,11311632,13331201","11132681,11334726,16307048,22568613,34340718,27460575"
L2_RQSTS:CODE_RD_HIT,"967,1868,2956,5309,7796,33608","3803,5011,8349,11348,15134,60543","3117,14095,7891,12788,52489,61986","6398,34128,63507,33142,48396,183320","6675,14289,16283,33147,33917,167302","19444,57668,143246,90781,360242,201568"
L2_RQSTS:CODE_RD_MISS,"435343,652225,984864,989326,1561384,1724701","1250502,1280257,1889520,2585587,3903796,4011684","1933235,2497991,4033142,3733517,6313606,6379718","4829424,5110073,7361146,10641277,15095915,13247047","4159507,5830078,8763498,7864620,11203837,14607321","10973682,11287472,16265922,22902900,32861449,27971807"
L2_RQSTS:ALL_PF,"26643279683,27300656411,27692193274,45687368263,68478323284,26663623856","73813765553,142232829987,103537408079,189436215047,79508438871,312255988890","100646373801,106654953389,110259723053,109951653935,197581230294,184817118799","295453180739,318265054935,366796323633,560393217718,283456548878,286405307139","240023038621,504297834439,241271748744,487500214964,241945562283,240384280337","676408861798,722604555456,1434125894960,1846119610053,1378923324491,1223385265920"
L2_RQSTS:PF_HIT,"25199052244,25878730658,43984934869,25753271524,70962794723,33978346017","69366858628,75439072294,110485578906,172760122847,74072263205,158025979730","92795594286,142006806389,131743759287,198790223922,294875768458,97975423559","274150001500,298462073820,638930136807,604571304632,621547062439,266610856975","227453635465,315113899295,227472931828,229160399944,228301449692,225636513842","636498828976,964505614405,690087751995,924033730844,627125694730,596130706863"
L2_RQSTS:PF_MISS,"1424470526,1437468918,1548752573,1561652163,1742676604,2177173507","4394901265,4362550823,4631146380,4611442567,5215549836,6503118215","7819401507,6292301770,5605567659,6074943255,5588594441,7136906916","21328484157,19835018621,17817868764,18057942973,16493222829,20368859626","12549147258,13777617091,13787193260,12616171385,13620590754,15330304317","39558836886,37756595065,37844933166,37704813557,41281720244,42313342769"
L2_RQSTS:ALL_DEMAND_REFERENCES,"490823501,504735814,617976919,817148245,1359364205,1496394867","1509974471,1616405320,1864195526,2862693402,4490204362,6775937349","2062540443,2000817161,2082774036,2855759342,6865093120,4490180441","6185808538,6735545473,6926527248,9046333614,23419211299,26799173829","4243792142,4507582846,5046533886,5857598098,7532262873,8211133565","11056645960,14227588222,14958292901,23816752480,41692361795,49940730558"
L2_RQSTS:ALL_DEMAND_MISS,"29212136,15298220,19232661,21548195,40768715,64765396","73292969,50229353438,138926762787,179811136766,96757010,85183533470","67646435,39387037,41696856,96558454301,134441349953,76804045089","163830166,403516622887,198876252902,588630384273,769075553219,175802549","179360375,100334998,149774307347,309528292996,129108387296,205194587","410996196,156031912,170352815,190977330,389404361503,536117789347"
L2_RQSTS:REFERENCES,"27124492664,37711322383,28273833278,28132695987,48661366375,41027263973","75302441022,81355251833,105304052660,83977687989,182276903584,142951878216","102731209069,108717327166,241490158618,112720083128,165729227781,109581618848","301563629238,325153993725,372632008160,666625417726,432574054224,313244839397","244302783499,333003564938,456249851801,247581629088,445558491779,249450677114","687094512815,736959595892,1275031693656,1671920232189,1159156538249,687419666181"
L2_RQSTS:MISS,"1452578926,1451293129,7138235508,1580204205,6817089918,2238347661","4479516221,4399868190,4657216202,4655654984,5310055488,90251663272","7890454932,6325949314,5648669420,114646659848,159222141979,7237024913","21482731838,217436136292,539407037011,265634830386,525975840539,99507148784","12721806072,162874509186,13906814201,468026984031,13784090516,32599373448","39995403534,37917858744,1208148838753,1346209567360,612692254543,42625478035"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"16103055,33625492780,17211268031,13970879,27453318,28972683760","36000007,151610603631,156118345257,89141218439,55949166,119701925812","48091371,66217668171,245406006571,36523388,111201790465,73436966635","103201324,205074679721,734849316250,632359244721,270431722082,371577950984","132080795,151969982175,49806042270,91137127,369683461549,276816099016","282960484,112818036,902352371521,570759070446,325577973843,1567416539665"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"2118743,14568077,11514118300,16460341,43641433392,43402343","4842770,100719512388,191646497302,47169943,47661770970,75800764217","9623921,32833946,246157224345,152305997429,45560614758,90254225756","21343502,197864968402,466433997213,294980001239,450864419972,186852772010","13561673,301038913663,503444935612,557268615196,409637221985,54701107","36515132,897225170526,600249289797,766505970993,516820474127,142938550"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"519942,630361,1005417,43464568424,62294531454,1697444","1183075,1332055,121661815514,55819543985,39863157998,117283809675","1755395,2539543,133685435860,193692582221,6105273,98039893188","4337500,602722701927,601236005042,294911268465,405634802191,83602135932","4212496,301222085129,9018706,8403576,261297775544,14828775","10991612,1344712328684,599608590753,571566871642,1759139933603,685685978799"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"1330087124,1324842140,29523201222,1411876265,1448619731,1700756305","3978298334,3984868931,4227072616,4072393202,65131115549,4861747216","6523146045,5693365086,224595907515,141416462482,49299133952,64997858316","18484453650,212071056515,734485416202,389738628670,300656309180,15999427099","11712098339,307175822261,553302680139,163242538841,121715582798,12912433555","36180745873,469077229927,626449106019,687001861627,352163346243,838777208497"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"5047521,15062995,45834452876,35713567,92581349,162789226","11497277,34750876,44990421,122544519,275139429,374206304","22426164,36993396,245495296354,138060203153,56118390980,112035125998","54110431,198813108299,536490464769,465298363505,208578144,310689118","42122521,301247876643,553102267461,248332398830,483782729971,403888612433","157468982,454284114163,1198626669767,198239203,230811871,261411940"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"86279861,83482009,45924754606,101786457,46521697240,287927927","400250341,318914035,87417552819,370010336,151949331424,9594290422","1241593997,524809322,319036826,379238349,720698428,902377796","2744942386,201245221739,336541516046,633307233028,477296831549,274233290424","779195829,301564005807,201972316409,31676615274,1052377137,157662366717","3191936105,448624398594,458228055316,1147757937205,6494093125,7278839593"
Runtime,"19.0486,5.17552,1.83108,1.19454,1.05766,1.10065","57.3648,15.4458,5.5366,3.62888,3.20485,3.57673","76.7836,20.4717,7.12491,4.45108,4.37846,4.12239","228.305,62.6906,21.9087,13.6025,11.5141,12.4569","169.547,45.6593,16.2585,9.8755,7.41046,9.64811","511.957,136.385,48.0559,30.2558,31.9908,23.237"
