Nyx,loop7,TLB,PAGE_WALKER_LOADS:DTLB_L1,1.0
Nyx,loop7,TLB,PAGE_WALKER_LOADS:DTLB_L3,0.4382431207169841
Nyx,loop7,STALL,RESOURCE_STALLS:ROB,1.0
Nyx,loop7,STALL,RESOURCE_STALLS:SB,0.10742680940967954
Nyx,loop7,L1,L1D_PEND_MISS:FB_FULL,1.0
Nyx,loop7,L1,L1D_PEND_MISS:REQUEST_FB_FULL,0.9881854527644326
Nyx,loop7,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,0.745345693213076
Nyx,loop7,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,1.0
Nyx,loop8,TLB,DTLB_LOAD_MISSES:WALK_COMPLETED,0.2501282623424332
Nyx,loop8,TLB,DTLB_LOAD_MISSES:WALK_COMPLETED_4K,0.2041378641042402
Nyx,loop8,TLB,DTLB_STORE_MISSES:PDE_CACHE_MISS,0.0326347954910315
Nyx,loop8,TLB,DTLB_STORE_MISSES:WALK_DURATION,0.006724747378886899
Nyx,loop8,TLB,ITLB:ITLB_FLUSH,1.0
Nyx,loop8,TLB,PAGE_WALKER_LOADS:DTLB_L1,0.599118978764787
Nyx,loop8,TLB,PAGE_WALKER_LOADS:DTLB_L3,0.0542765785834976
Nyx,loop8,STALL,RESOURCE_STALLS:ROB,0.7348048110675449
Nyx,loop8,STALL,RESOURCE_STALLS:SB,1.0
Nyx,loop8,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,1.0
Nyx,loop8,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_DRAM,0.007924375821437263
Nyx,loop8,MEM,MISALIGN_MEM_REF:STORES,0.13821361331021975
Nyx,loop9,TLB,DTLB_LOAD_MISSES:WALK_COMPLETED,0.09953394888552546
Nyx,loop9,TLB,DTLB_LOAD_MISSES:WALK_COMPLETED_4K,0.09899554598741822
Nyx,loop9,TLB,PAGE_WALKER_LOADS:DTLB_L3,1.0
Nyx,loop9,STALL,RESOURCE_STALLS:ROB,1.0
Nyx,loop9,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,1.0
Nyx,main,BR,BACLEARS:ANY,1.0
Nyx,main,TLB,DTLB_LOAD_MISSES:WALK_DURATION,0.5717821306034165
Nyx,main,TLB,DTLB_STORE_MISSES:WALK_COMPLETED,0.0945486301507641
Nyx,main,TLB,DTLB_STORE_MISSES:WALK_DURATION,1.0
Nyx,main,TLB,TLB_FLUSH:STLB_ANY,0.15571583634833816
Nyx,main,FE,ITLB_MISSES:WALK_DURATION,1.0
Nyx,main,ATOMIC,LOCK_CYCLES:SPLIT_LOCK_UC_LOCK_DURATION,1.0
Nyx,main,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,1.0
Nyx,main,UOPS,UOPS_ISSUED:SINGLE_MUL,1.0
Nyx,MLPoisson::Fsmooth(),TLB,DTLB_STORE_MISSES:PDE_CACHE_MISS,1.0
Nyx,MLPoisson::Fsmooth(),TLB,DTLB_STORE_MISSES:WALK_COMPLETED,0.15140053880075172
Nyx,MLPoisson::Fsmooth(),TLB,DTLB_STORE_MISSES:WALK_DURATION,0.18658029782921967
Nyx,MLPoisson::Fsmooth(),TLB,PAGE_WALKER_LOADS:DTLB_L1,0.7051135372160312
Nyx,MLPoisson::Fsmooth(),TLB,PAGE_WALKER_LOADS:DTLB_L2,0.06767279271851452
Nyx,MLPoisson::Fsmooth(),STALL,ILD_STALL:LCP,1.0
Nyx,Nyx::remove_virtual_particles(),BR,BR_INST_RETIRED:NEAR_CALL,0.10235598150307157
