OpenBLAS,
cycles,instructions,m,n,NRHS,threads,
61507808961,123852112383,20000,12000,1,4,
21974388089,42538701496,20000,12000,1,12,
14760006586,20439390853,20000,12000,1,24,
10619050453,9534527960,20000,12000,1,48,
10469383330,9301269213,20000,12000,1,72,
10282954842,8872924758,20000,12000,1,96,
142786857657,294240019115,20000,20000,1,4,
47266418773,96916151345,20000,20000,1,12,
30858821522,47511058124,20000,20000,1,24,
22346986538,22554425940,20000,20000,1,48,
22562309624,21860157248,20000,20000,1,72,
22246388888,21955307474,20000,20000,1,96,
264965076325,507796568308,20000,30000,1,4,
89116949160,165021313172,20000,30000,1,12,
55945516023,82567547997,20000,30000,1,24,
41465549710,41236762873,20000,30000,1,48,
41782008343,42268620355,20000,30000,1,72,
41351300544,41758107506,20000,30000,1,96,
18383412175,28483699680,30000,4000,1,4,
6643131537,9418278750,30000,4000,1,12,
4418179610,4856810968,30000,4000,1,24,
3583670057,2112619554,30000,4000,1,48,
3313795275,2135358495,30000,4000,1,72,
3397873693,2060361959,30000,4000,1,96,
107656689047,208122699807,30000,12000,1,4,
36475509806,68726172358,30000,12000,1,12,
25326483047,33363118992,30000,12000,1,24,
18262269700,14360550903,30000,12000,1,48,
17565280121,15130404374,30000,12000,1,72,
17801571543,15045074065,30000,12000,1,96,
255385375582,513174069944,30000,20000,1,4,
83860270378,169431331124,30000,20000,1,12,
54985274025,83077941773,30000,20000,1,24,
39766380778,37526062147,30000,20000,1,48,
40329860505,37638978617,30000,20000,1,72,
40335402319,37671366510,30000,20000,1,96,
477496800470,970056779049,30000,30000,1,4,
156865938437,321492909914,30000,30000,1,12,
91602846048,160491624600,30000,30000,1,24,
54119748965,75910836857,30000,30000,1,48,
57362381716,76721007935,30000,30000,1,72,
58848178516,75091366641,30000,30000,1,96,
