OpenBLAS,
time,m,n,k,threads,
5.4662,4000,8000,8000,4,
2.09063,4000,8000,8000,12,
1.51333,4000,8000,8000,24,
1.28961,4000,8000,8000,48,
1.29677,4000,8000,8000,72,
1.28741,4000,8000,8000,96,
7.73011,4000,8000,12000,4,
2.78661,4000,8000,12000,12,
2.0764,4000,8000,12000,24,
1.97269,4000,8000,12000,48,
1.97561,4000,8000,12000,72,
1.95915,4000,8000,12000,96,
5.48256,4000,12000,4000,4,
2.20152,4000,12000,4000,12,
1.41471,4000,12000,4000,24,
1.32356,4000,12000,4000,48,
1.33794,4000,12000,4000,72,
1.3355,4000,12000,4000,96,
9.23679,4000,12000,8000,4,
3.53096,4000,12000,8000,12,
2.39409,4000,12000,8000,24,
1.97811,4000,12000,8000,48,
1.98065,4000,12000,8000,72,
1.95327,4000,12000,8000,96,
13.113,4000,12000,12000,4,
4.52925,4000,12000,12000,12,
3.24494,4000,12000,12000,24,
2.94939,4000,12000,12000,48,
2.94045,4000,12000,12000,72,
2.9941,4000,12000,12000,96,
3.23964,8000,4000,4000,4,
1.50778,8000,4000,4000,12,
1.01263,8000,4000,4000,24,
0.938107,8000,4000,4000,48,
0.931148,8000,4000,4000,72,
0.94525,8000,4000,4000,96,
4.52289,8000,4000,8000,4,
1.86921,8000,4000,8000,12,
1.30124,8000,4000,8000,24,
1.12627,8000,4000,8000,48,
1.12329,8000,4000,8000,72,
1.16959,8000,4000,8000,96,
6.28748,8000,4000,12000,4,
2.53652,8000,4000,12000,12,
1.90551,8000,4000,12000,24,
1.90147,8000,4000,12000,48,
1.98527,8000,4000,12000,72,
1.92276,8000,4000,12000,96,
5.9071,8000,8000,4000,4,
2.58611,8000,8000,4000,12,
1.7023,8000,8000,4000,24,
1.55471,8000,8000,4000,48,
1.54002,8000,8000,4000,72,
1.56402,8000,8000,4000,96,
8.04577,8000,8000,8000,4,
3.17282,8000,8000,8000,12,
2.28661,8000,8000,8000,24,
1.95063,8000,8000,8000,48,
1.95868,8000,8000,8000,72,
1.95999,8000,8000,8000,96,
10.5105,8000,8000,12000,4,
4.20351,8000,8000,12000,12,
3.11603,8000,8000,12000,24,
3.28207,8000,8000,12000,48,
3.26198,8000,8000,12000,72,
3.27654,8000,8000,12000,96,
11.2696,8000,12000,4000,4,
4.16971,8000,12000,4000,12,
2.73349,8000,12000,4000,24,
2.52161,8000,12000,4000,48,
2.5536,8000,12000,4000,72,
2.54078,8000,12000,4000,96,
16.4969,8000,12000,8000,4,
6.35135,8000,12000,8000,12,
4.37237,8000,12000,8000,24,
3.66361,8000,12000,8000,48,
3.6101,8000,12000,8000,72,
3.61363,8000,12000,8000,96,
23.02,8000,12000,12000,4,
8.57314,8000,12000,12000,12,
5.81417,8000,12000,12000,24,
5.41603,8000,12000,12000,48,
5.40353,8000,12000,12000,72,
5.43605,8000,12000,12000,96,
4.51783,12000,4000,4000,4,
1.8779,12000,4000,4000,12,
1.23209,12000,4000,4000,24,
1.1406,12000,4000,4000,48,
1.15331,12000,4000,4000,72,
1.13128,12000,4000,4000,96,
7.26282,12000,4000,8000,4,
3.0223,12000,4000,8000,12,
1.98566,12000,4000,8000,24,
1.74292,12000,4000,8000,48,
1.7418,12000,4000,8000,72,
1.8258,12000,4000,8000,96,
10.0317,12000,4000,12000,4,
4.11946,12000,4000,12000,12,
2.81934,12000,4000,12000,24,
2.80864,12000,4000,12000,48,
2.79712,12000,4000,12000,72,
2.81109,12000,4000,12000,96,
9.7302,12000,8000,4000,4,
3.81686,12000,8000,4000,12,
2.51192,12000,8000,4000,24,
2.29496,12000,8000,4000,48,
2.30625,12000,8000,4000,72,
2.24011,12000,8000,4000,96,
14.2037,12000,8000,8000,4,
5.57799,12000,8000,8000,12,
3.89375,12000,8000,8000,24,
3.4727,12000,8000,8000,48,
3.48,12000,8000,8000,72,
3.29149,12000,8000,8000,96,
18.6176,12000,8000,12000,4,
7.50962,12000,8000,12000,12,
4.47508,12000,8000,12000,24,
5.2202,12000,8000,12000,48,
5.27054,12000,8000,12000,72,
5.28199,12000,8000,12000,96,
15.2379,12000,12000,4000,4,
5.67331,12000,12000,4000,12,
3.75683,12000,12000,4000,24,
3.43879,12000,12000,4000,48,
3.38359,12000,12000,4000,72,
3.44326,12000,12000,4000,96,
21.1081,12000,12000,8000,4,
7.98509,12000,12000,8000,12,
4.91327,12000,12000,8000,24,
4.74476,12000,12000,8000,48,
4.92342,12000,12000,8000,72,
4.86545,12000,12000,8000,96,
26.9152,12000,12000,12000,4,
10.3914,12000,12000,12000,12,
6.99931,12000,12000,12000,24,
7.14317,12000,12000,12000,48,
7.13859,12000,12000,12000,72,
7.11309,12000,12000,12000,96,
