,20kx1k,20kx4k,50kx1k,50kx4k
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1711225378,4444572200,4375568504,5104543565,8525522237,11588480373","20665424978,57689506476,59662375465,75163706441,115760753683,132698077881","4880848621,12609165935,12926805239,16506522079,23090210625,30689491299","57866106700,162702386922,154469996860,247287722714,346021214280,362179140547"
CYCLE_ACTIVITY:STALLS_L2_MISS,"994246025,2695113413,2526838479,3016791865,5487864128,8657142402","10082290523,33147626564,28438668333,37931473640,60382594955,75967679731","3084139001,8474047012,7980777272,10181721745,15341803240,22752792289","27956091479,96468317686,81868086857,121455443971,177812410492,198626840991"
CYCLE_ACTIVITY:STALLS_L3_MISS,"435009488,1975418538,1794720283,2094481854,3615068860,5473818858","7466146602,22965763552,22653366284,30001624940,48387397236,56004148541","1693098187,6098638013,5696898847,7416203513,10803676200,15206735283","20989787674,62474029202,64553856013,96218729067,143938855303,149912560744"
RESOURCE_STALLS,"2333080915,5891944611,5675105797,6481790752,10509272798,12825160891","29509356354,79640695682,85818668418,107913493232,166822747270,186653278399","6488751036,15981654278,16370530710,20701116789,28027661811,33620476754","81178885101,206084884903,225860519191,344231788442,488225687724,503111338263"
L2_RQSTS:ALL_DEMAND_DATA_RD,"188304265,228107848,212497954,221289532,248510171,260731067","1232664038,2343679968,1909262312,1952256380,1899295636,1910141857","474981732,587619576,554492668,581702382,635300362,656760653","3098967186,6216188960,5029436520,5158929478,4914976088,5032872094"
L2_RQSTS:DEMAND_DATA_RD_HIT,"121417545,190632694,191812720,199851444,223438689,230759850","945891995,1877852659,1655113211,1661585953,1698587760,1705484743","311571014,445037869,468336699,492809515,536211393,570077905","2329607160,4852567542,4229992253,4305598175,4270766911,4411427404"
L2_RQSTS:DEMAND_DATA_RD_MISS,"67019195,37799239,20764088,21447609,25133977,29884328","286385930,465880795,257349449,290858341,199732504,203551049","162835735,144944740,85743970,88433616,99455839,105082371","791379766,1350759785,800012896,867789198,643581243,642322871"
L2_RQSTS:ALL_RFO,"43659858,44097344,47078200,48771930,53041887,55321858","575552979,579892581,609857581,622995142,659458201,674136500","108123353,106522081,114326222,118287302,125190694,124859865","1494669398,1486897997,1554789751,1587961787,1671651505,1705173434"
L2_RQSTS:RFO_HIT,"40005595,36711331,43253341,44178799,45792881,46819246","442948535,413616197,486476499,495442130,605062878,622953039","92244490,88808364,107175754,109229507,112049992,114389049","1157286129,1082770293,1261696258,1290508582,1559085669,1608029293"
L2_RQSTS:RFO_MISS,"3660952,7275546,3825287,4595261,7237023,8523235","132539633,161939123,123396758,130173057,54377199,44906731","15877334,17730606,7176118,9021157,13161378,10471633","336614419,401331877,293770764,296990009,112575800,97252172"
