,20kx1k,20kx4k,50kx1k,50kx4k
L2_RQSTS:ALL_DEMAND_DATA_RD,"190649601,127234973,164432721,180519517,242740544,320208723","1123773287,1124465646,1275835429,1340724755,1819824959,2622312646","475432676,333649517,449972056,498236755,646724955,852484242","2922627135,2981977437,3479091496,3681006871,4906342799,7096475654"
L2_RQSTS:DEMAND_DATA_RD_HIT,"119770709,119790536,159180327,173717299,229945911,294815877","823371457,1077288383,1232135940,1291269237,1735835492,2488143882","302348476,299990563,399504019,438517695,580375439,761516713","2111141391,2807315077,3233319683,3390992491,4573511388,6609130832"
L2_RQSTS:DEMAND_DATA_RD_MISS,"70889802,7453467,5519330,6647429,12796316,25193012","300596018,47335399,44183803,49505320,83656876,135000071","172451141,33774691,50091527,59599945,66689848,91069201","810619949,174097676,248839801,289981924,334170799,488126351"
L2_RQSTS:ALL_RFO,"43409504,23598419,28213276,30553883,44135006,60920968","598392088,309051935,332827702,343046655,480756020,701070882","109125758,56978252,66099770,72149294,100107678,141718558","1546935576,793651469,841539219,868965487,1194863852,1796078794"
L2_RQSTS:RFO_HIT,"39131230,21555577,24432554,25670003,34520799,46085728","544298457,286797688,309602086,315459004,423369847,618406850","95646350,53229802,58843536,61849055,83415242,116066322","1383304593,741589261,798961163,811889802,1092145382,1594233912"
L2_RQSTS:RFO_MISS,"4297347,2037861,3781518,4891209,9577038,14864606","54083258,22261552,22746478,27584676,57705739,81546569","13482836,3738156,7247963,10304817,16666825,25799108","163678285,51855859,42155965,57186380,102395780,201204409"
L2_RQSTS:ALL_CODE_RD,"159895,268061,360282,488934,854393,1414609","1530214,1662429,2152277,2854522,5080445,9252864","356098,528957,602281,774345,1242448,2080377","3672716,3620007,4351168,5528206,8716065,15164301"
L2_RQSTS:CODE_RD_HIT,"275,17108,26425,33275,72384,183178","2734,69318,116435,150548,335309,723476","439,7902,11208,22857,81272,266525","5213,33675,56029,120509,523222,1266918"
L2_RQSTS:CODE_RD_MISS,"158128,251695,326286,457641,778754,1233604","1509562,1579807,2027295,2726456,4767499,8532147","358658,517347,590216,755159,1151903,1805128","3630779,3680703,4165903,5350835,8300407,13854154"
L2_RQSTS:ALL_PF,"668409714,446869140,482991770,504500146,652616891,869614368","8927175750,5645900157,5680029450,5722572962,7544711090,11273216101","1727757062,1169130173,1338784764,1396783598,1752190090,2366135335","23360846177,14968498573,15297693026,15388763181,19999968995,30116242534"
L2_RQSTS:PF_HIT,"463257594,337181870,367141091,377192910,464567998,596854963","6353219941,4430681129,4478986672,4520377122,5900615077,8848207849","1149475352,805841503,855096620,866484178,1068606953,1484487995","16644385916,11402784221,11452064468,11483521411,15011244997,22936645684"
L2_RQSTS:PF_MISS,"205410232,109765727,115596312,126993194,188558536,272907218","2578508518,1215937475,1199292120,1201783832,1643329985,2422578675","578677671,363230536,483414544,530428140,683795767,881880440","6718052859,3580712041,3855014911,3905113714,4979806509,7179047988"
L2_RQSTS:ALL_DEMAND_REFERENCES,"234250138,151125366,193382142,211378661,287625353,382300229","1723305340,1433904297,1611332022,1685866347,2305620215,3332902846","585592170,390610123,516454639,570671531,749234386,1000149148","4472138242,3757119626,4304207408,4553991509,6112879194,8917892366"
L2_RQSTS:ALL_DEMAND_MISS,"75280643,9737362,9627757,12008080,23155775,41329828","355725669,71027767,68672191,79641384,146427697,224929162","187039920,37428577,58151027,70270700,85097340,120482890","977821562,225148355,288082691,353811306,444485373,709978699"
L2_RQSTS:REFERENCES,"902897308,598005198,676161422,716255139,940348254,1251927288","10658373429,7079680450,7289976038,7409035911,9847861229,14603634875","2313769834,1559630187,1854961422,1967306266,2502310999,3368548660","27845823637,18760134084,19605900181,19944459035,26101292293,39035049067"
L2_RQSTS:MISS,"280623637,119548692,125239753,139231650,211691518,314173861","2934479046,1286606668,1268678378,1281921033,1789215428,2645944523","766024095,400733596,541345015,600464056,768891624,1002532481","7703680164,3806159838,4148093297,4260152792,5427573893,7885999004"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"79862838,12535216,10313992,10999753,17753232,32089803","331930118,69797113,63791504,68210718,106712683,165147141","207977618,53565691,81496878,93785359,105290483,137149053","935014616,263662773,378792496,427193729,469584820,673902468"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"5514787,3075830,5968704,7371416,12284171,17758178","64198177,29192523,31323511,35849351,69261316,82768351","17377517,6284503,11338643,14504444,20316846,29378225","197294095,69064207,59240306,74852298,117115821,217865205"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"161287,242890,326191,452332,767797,1224835","1488985,1491806,1981265,2677073,4806130,8420507","354139,526550,584391,740747,1155046,1788178","3565721,3838435,4092386,5109619,8118006,13801153"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"146350907,79728991,83188334,91349643,129712657,184004440","2024883718,952620977,934188922,903524151,1156397719,1624426666","398081961,271147174,346709776,374376828,479046865,608122942","5195579812,2810103824,2971776988,2915342656,3622599686,5088790413"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"23282226,12365451,12579447,14631256,32554130,51397355","122679226,76713038,80666298,93437724,220745579,352976657","65483091,35919859,56147973,65436541,95234081,139609717","382843336,230753365,273497079,324078145,24947490243,826992310"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"25329099,11571249,12464897,13588564,17791175,26452987","380265032,155595855,156177508,173645978,229746580,394784002","75309494,33226123,44838290,51155609,66475471,82631527","979777924,414416575,463168905,509763529,696441919,1053253264"
Runtime,"1.13359,0.46951,0.263812,0.229286,0.249707,0.27639","13.6959,5.41053,2.98658,2.8057,2.42731,2.45179","3.02826,1.18286,0.717033,0.683833,0.699942,0.774993","36.6053,14.4045,8.37529,7.97741,7.51083,6.21699"
