OpenBLAS,
cycles,instructions,m,n,k,threads,
350670888102,176585885438,50000,30000,50000,96,
412707241823,1390711495283,50000,50000,10000,4,
137618189393,464159022673,50000,50000,10000,12,
84856343539,233727702697,50000,50000,10000,24,
74048475123,117494299662,50000,50000,10000,48,
32449656301,78358043804,50000,50000,10000,72,
70069932820,60241981869,50000,50000,10000,96,
1231227171295,4170553531432,50000,50000,30000,4,
408846371904,1390888702219,50000,50000,30000,12,
229258041540,697135352542,50000,50000,30000,24,
181292606116,350254010129,50000,50000,30000,48,
94809065678,234832145833,50000,50000,30000,72,
201375009834,176204609314,50000,50000,30000,96,
2062594692396,6949404723873,50000,50000,50000,4,
686788120463,2317831699119,50000,50000,50000,12,
357159884033,1161528659821,50000,50000,50000,24,
309620873657,586228886300,50000,50000,50000,48,
341214898018,387797763441,50000,50000,50000,72,
291684075412,294530607986,50000,50000,50000,96,
MKL,
cycles,instructions,m,n,k,threads,
17119044224,49973969861,10000,10000,10000,4,
5723385723,16720299587,10000,10000,10000,12,
3264710884,8648825399,10000,10000,10000,24,
2579437439,3222586828,10000,10000,10000,48,
2642177945,3172857968,10000,10000,10000,72,
2823010396,3296840450,10000,10000,10000,96,
52150187073,153560800392,10000,10000,30000,4,
17003427802,50105399906,10000,10000,30000,12,
9163003192,26141880986,10000,10000,30000,24,
5750404027,10704239870,10000,10000,30000,48,
5953564167,10884624578,10000,10000,30000,72,
6027120219,10724330957,10000,10000,30000,96,
85716018508,250806571639,10000,10000,50000,4,
28319486817,83721496857,10000,10000,50000,12,
14627199406,39629470344,10000,10000,50000,24,
13124898585,14912145911,10000,10000,50000,48,
13136227624,14895885247,10000,10000,50000,72,
13114881588,14785385652,10000,10000,50000,96,
52013106230,153795132629,10000,30000,10000,4,
17015535330,50294927097,10000,30000,10000,12,
9333839668,24886905377,10000,30000,10000,24,
7690320054,9533531971,10000,30000,10000,48,
7494718384,9389799141,10000,30000,10000,72,
7440966729,9511502484,10000,30000,10000,96,
154354653804,458738698815,10000,30000,30000,4,
50509787005,150010087779,10000,30000,30000,12,
28047135670,73867123487,10000,30000,30000,24,
23269487967,27386578627,10000,30000,30000,48,
23203692069,27415363699,10000,30000,30000,72,
23232108976,27175816813,10000,30000,30000,96,
257669331088,767236047576,10000,30000,50000,4,
83991532756,250899684731,10000,30000,50000,12,
44534810134,125010500074,10000,30000,50000,24,
32421271054,50410477736,10000,30000,50000,48,
32743854208,49600061776,10000,30000,50000,72,
32331368441,50559265595,10000,30000,50000,96,
84504791433,249857644573,10000,50000,10000,4,
28229796645,83469542214,10000,50000,10000,12,
15622421723,41801332350,10000,50000,10000,24,
12457778671,15031196271,10000,50000,10000,48,
12411147992,15344538084,10000,50000,10000,72,
12461157975,16089824987,10000,50000,10000,96,
256811670783,755604076307,10000,50000,30000,4,
84090149981,247560149226,10000,50000,30000,12,
45384553811,125208742108,10000,50000,30000,24,
35894476342,47309226298,10000,50000,30000,48,
32203747317,51831203955,10000,50000,30000,72,
35175776218,48686626436,10000,50000,30000,96,
420247019330,1272298868580,10000,50000,50000,4,
137196957053,416427293027,10000,50000,50000,12,
70337356930,202878594013,10000,50000,50000,24,
57114018662,72470799430,10000,50000,50000,48,
56239523549,71325318852,10000,50000,50000,72,
56527530291,73285289636,10000,50000,50000,96,
52150821639,153729584912,30000,10000,10000,4,
17081722283,50305004781,30000,10000,10000,12,
8835686323,24966532124,30000,10000,10000,24,
6167269130,11137512119,30000,10000,10000,48,
5781335812,11476736437,30000,10000,10000,72,
6142460216,10022010109,30000,10000,10000,96,
155504349057,461687855473,30000,10000,30000,4,
50736948240,149853144889,30000,10000,30000,12,
27193738505,76640489959,30000,10000,30000,24,
20362063824,29070055646,30000,10000,30000,48,
20205757303,29874185048,30000,10000,30000,72,
20421882743,29619072875,30000,10000,30000,96,
257323423239,765514322915,30000,10000,50000,4,
83940519432,249238990706,30000,10000,50000,12,
41650095047,119402329830,30000,10000,50000,24,
33611575474,48882811536,30000,10000,50000,48,
32010094658,49793012914,30000,10000,50000,72,
33519473450,47677752192,30000,10000,50000,96,
155255096396,457540819608,30000,30000,10000,4,
50438672434,149080070303,30000,30000,10000,12,
26324240655,74365185026,30000,30000,10000,24,
17952308025,32403433305,30000,30000,10000,48,
17928013460,32894461741,30000,30000,10000,72,
18652245068,31813310772,30000,30000,10000,96,
461154547852,1365421244004,30000,30000,30000,4,
150137380956,446728270629,30000,30000,30000,12,
80405027973,226962420541,30000,30000,30000,24,
54300436662,96215973096,30000,30000,30000,48,
52513214429,96454427592,30000,30000,30000,72,
54522994742,97184301961,30000,30000,30000,96,
730369341150,2186027601023,30000,30000,50000,4,
249325142815,748430327851,30000,30000,50000,12,
132611072269,383618373860,30000,30000,50000,24,
89944390850,157655484577,30000,30000,50000,48,
85416727050,163257084152,30000,30000,50000,72,
89697344933,159964585361,30000,30000,50000,96,
245206080603,732119638454,30000,50000,10000,4,
83992228378,246739715394,30000,50000,10000,12,
41074114467,119731314382,30000,50000,10000,24,
27765844198,53491766909,30000,50000,10000,48,
26723299583,56481382438,30000,50000,10000,72,
29318160222,54055610895,30000,50000,10000,96,
766090829601,2270911127561,30000,50000,30000,4,
250099573101,746182119364,30000,50000,30000,12,
131063567423,376860476539,30000,50000,30000,24,
78587571670,177581727361,30000,50000,30000,48,
82689759038,166027806844,30000,50000,30000,72,
78070588863,177163340200,30000,50000,30000,96,
1257830658811,3822563927270,30000,50000,50000,4,
409694058311,1247179739858,30000,50000,50000,12,
202811976257,607065935007,30000,50000,50000,24,
135620892264,264284107552,30000,50000,50000,48,
134775678931,278231082848,30000,50000,50000,72,
132785702116,279895051094,30000,50000,50000,96,
85957566370,252301581392,50000,10000,10000,4,
28524997738,83785454313,50000,10000,10000,12,
16095284441,39441911253,50000,10000,10000,24,
12825101601,16380463255,50000,10000,10000,48,
13181691133,15488237739,50000,10000,10000,72,
13007322990,15103890564,50000,10000,10000,96,
257438454290,764633501354,50000,10000,30000,4,
84455920819,249115833105,50000,10000,30000,12,
45186619703,125908233696,50000,10000,30000,24,
32430803987,50551496990,50000,10000,30000,48,
32249859563,53048453047,50000,10000,30000,72,
32651409943,53524237593,50000,10000,30000,96,
428892644848,1263106917491,50000,10000,50000,4,
139217203561,414115238619,50000,10000,50000,12,
72691693668,212931958127,50000,10000,50000,24,
38206478776,103100482685,50000,10000,50000,48,
37888305266,104019541104,50000,10000,50000,72,
37946373545,104134233464,50000,10000,50000,96,
