OpenBLAS,
time,m,n,k,threads,
15.9437,10000,30000,30000,12,
8.92809,10000,30000,30000,24,
9.32582,10000,30000,30000,48,
9.38706,10000,30000,30000,72,
9.40719,10000,30000,30000,96,
74.9266,10000,30000,50000,4,
26.534,10000,30000,50000,12,
14.3116,10000,30000,50000,24,
13.0712,10000,30000,50000,48,
13.0509,10000,30000,50000,72,
13.0928,10000,30000,50000,96,
25.6065,10000,50000,10000,4,
9.31893,10000,50000,10000,12,
5.0747,10000,50000,10000,24,
5.04134,10000,50000,10000,48,
5.056,10000,50000,10000,72,
5.0269,10000,50000,10000,96,
75.4557,10000,50000,30000,4,
26.5102,10000,50000,30000,12,
14.3264,10000,50000,30000,24,
14.2962,10000,50000,30000,48,
14.4328,10000,50000,30000,72,
14.1712,10000,50000,30000,96,
122.144,10000,50000,50000,4,
43.3505,10000,50000,50000,12,
22.5704,10000,50000,50000,24,
23.5978,10000,50000,50000,48,
22.9461,10000,50000,50000,72,
22.6461,10000,50000,50000,96,
15.4497,30000,10000,10000,4,
5.39596,30000,10000,10000,12,
2.86111,30000,10000,10000,24,
2.35949,30000,10000,10000,48,
2.426,30000,10000,10000,72,
2.43157,30000,10000,10000,96,
44.6991,30000,10000,30000,4,
16.0266,30000,10000,30000,12,
8.84497,30000,10000,30000,24,
8.0461,30000,10000,30000,48,
8.11854,30000,10000,30000,72,
8.09286,30000,10000,30000,96,
75.1115,30000,10000,50000,4,
26.6742,30000,10000,50000,12,
14.3591,30000,10000,50000,24,
13.6449,30000,10000,50000,48,
13.683,30000,10000,50000,72,
13.7495,30000,10000,50000,96,
45.9013,30000,30000,10000,4,
16.6202,30000,30000,10000,12,
8.9054,30000,30000,10000,24,
7.92026,30000,30000,10000,48,
6.91267,30000,30000,10000,72,
7.58003,30000,30000,10000,96,
134.351,30000,30000,30000,4,
47.4157,30000,30000,30000,12,
26.2773,30000,30000,30000,24,
27.8136,30000,30000,30000,48,
27.7386,30000,30000,30000,72,
27.7173,30000,30000,30000,96,
222.254,30000,30000,50000,4,
79.0586,30000,30000,50000,12,
42.9101,30000,30000,50000,24,
46.389,30000,30000,50000,48,
46.3193,30000,30000,50000,72,
46.2326,30000,30000,50000,96,
76.6268,30000,50000,10000,4,
27.6228,30000,50000,10000,12,
14.5246,30000,50000,10000,24,
10.4628,30000,50000,10000,48,
10.613,30000,50000,10000,72,
10.2607,30000,50000,10000,96,
223.252,30000,50000,30000,4,
78.6704,30000,50000,30000,12,
43.2105,30000,50000,30000,24,
46.078,30000,50000,30000,48,
46.0935,30000,50000,30000,72,
46.066,30000,50000,30000,96,
363.269,30000,50000,50000,4,
129.649,30000,50000,50000,12,
66.8562,30000,50000,50000,24,
52.991,30000,50000,50000,48,
52.708,30000,50000,50000,72,
50.5795,30000,50000,50000,96,
25.7053,50000,10000,10000,4,
9.28525,50000,10000,10000,12,
5.33049,50000,10000,10000,24,
5.4031,50000,10000,10000,48,
5.37487,50000,10000,10000,72,
5.25959,50000,10000,10000,96,
75.054,50000,10000,30000,4,
26.7782,50000,10000,30000,12,
14.7609,50000,10000,30000,24,
14.226,50000,10000,30000,48,
13.5028,50000,10000,30000,72,
13.7264,50000,10000,30000,96,
126.381,50000,10000,50000,4,
44.792,50000,10000,50000,12,
22.7402,50000,10000,50000,24,
15.9008,50000,10000,50000,48,
15.7434,50000,10000,50000,72,
15.6751,50000,10000,50000,96,
76.1661,50000,30000,10000,4,
28.0029,50000,30000,10000,12,
15.0091,50000,30000,10000,24,
12.2989,50000,30000,10000,48,
11.2258,50000,30000,10000,72,
11.2387,50000,30000,10000,96,
222.783,50000,30000,30000,4,
79.0767,50000,30000,30000,12,
44.2537,50000,30000,30000,24,
46.7137,50000,30000,30000,48,
47.2121,50000,30000,30000,72,
47.5448,50000,30000,30000,96,
372.027,50000,30000,50000,4,
131.677,50000,30000,50000,12,
69.8478,50000,30000,50000,24,
45.8905,50000,30000,50000,48,
46.7346,50000,30000,50000,72,
46.03,50000,30000,50000,96,
123.322,50000,50000,10000,4,
44.0735,50000,50000,10000,12,
24.7833,50000,50000,10000,24,
24.1176,50000,50000,10000,48,
24.6031,50000,50000,10000,72,
24.1688,50000,50000,10000,96,
369.353,50000,50000,30000,4,
130.684,50000,50000,30000,12,
69.4415,50000,50000,30000,24,
52.6495,50000,50000,30000,48,
53.0524,50000,50000,30000,72,
52.3936,50000,50000,30000,96,
611.173,50000,50000,50000,4,
214.886,50000,50000,50000,12,
113.18,50000,50000,50000,24,
71.1376,50000,50000,50000,48,
72.9053,50000,50000,50000,72,
73.1179,50000,50000,50000,96,
