OpenBLAS,
time,m,n,k,threads,
9.8272,10000,30000,30000,24,
10.1725,10000,30000,30000,48,
9.84442,10000,30000,30000,72,
9.63423,10000,30000,30000,96,
74.8977,10000,30000,50000,4,
26.843,10000,30000,50000,12,
15.6643,10000,30000,50000,24,
13.1353,10000,30000,50000,48,
15.0541,10000,30000,50000,72,
13.3413,10000,30000,50000,96,
25.6546,10000,50000,10000,4,
9.31615,10000,50000,10000,12,
5.34357,10000,50000,10000,24,
5.45521,10000,50000,10000,48,
5.58002,10000,50000,10000,72,
4.17971,10000,50000,10000,96,
74.8852,10000,50000,30000,4,
27.172,10000,50000,30000,12,
16.7499,10000,50000,30000,24,
16.7961,10000,50000,30000,48,
16.7664,10000,50000,30000,72,
16.7872,10000,50000,30000,96,
120.389,10000,50000,50000,4,
43.103,10000,50000,50000,12,
24.8718,10000,50000,50000,24,
25.2526,10000,50000,50000,48,
25.457,10000,50000,50000,72,
24.4604,10000,50000,50000,96,
15.3376,30000,10000,10000,4,
5.47012,30000,10000,10000,12,
3.14966,30000,10000,10000,24,
2.66211,30000,10000,10000,48,
2.70866,30000,10000,10000,72,
2.55885,30000,10000,10000,96,
45.1911,30000,10000,30000,4,
16.1756,30000,10000,30000,12,
9.54321,30000,10000,30000,24,
8.10511,30000,10000,30000,48,
8.78787,30000,10000,30000,72,
8.75001,30000,10000,30000,96,
73.6255,30000,10000,50000,4,
26.7379,30000,10000,50000,12,
15.9506,30000,10000,50000,24,
14.4851,30000,10000,50000,48,
14.227,30000,10000,50000,72,
14.6029,30000,10000,50000,96,
46.2723,30000,30000,10000,4,
16.6732,30000,30000,10000,12,
9.38372,30000,30000,10000,24,
6.97495,30000,30000,10000,48,
7.01062,30000,30000,10000,72,
8.36058,30000,30000,10000,96,
132.858,30000,30000,30000,4,
47.5496,30000,30000,30000,12,
27.0664,30000,30000,30000,24,
30.3537,30000,30000,30000,48,
30.1691,30000,30000,30000,72,
30.3077,30000,30000,30000,96,
222.539,30000,30000,50000,4,
79.2635,30000,30000,50000,12,
45.6283,30000,30000,50000,24,
38.8203,30000,30000,50000,48,
39.7237,30000,30000,50000,72,
38.7027,30000,30000,50000,96,
76.252,30000,50000,10000,4,
28.1079,30000,50000,10000,12,
15.1388,30000,50000,10000,24,
16.2814,30000,50000,10000,48,
11.2139,30000,50000,10000,72,
16.9718,30000,50000,10000,96,
219.545,30000,50000,30000,4,
78.732,30000,50000,30000,12,
