,10kx10k,10kx30k,20kx10k,20kx30k,30kx10k,30kx30k
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"37799,22143,23745,23857284573,64629,38808780997","290577,55315552255,18272685638,133624390047,580335,163749","496669,299407,138309,668351,64803011054,2453229","2178214,213851960838,588945571583,43428281153,733726,1612522","2055466,531249,455660705142,685834,8280752,417879329221","7290268,501481743582,1197657,979488908660,625506415217,1705659"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"432088420,37168207014,31882155027,800479504,44297177507,53102710200","1257450651,1315611750,1470747640,78603220101,29385730466,46563675199","1653134526,148867454030,200876653485,3125289644,3241540231,64072038593","4804319607,5036744753,81890537393,6276429144,7517541432,107513889109","3663136600,485961459029,623386068410,284790292808,270699558796,6795935961","10640609617,11163389082,964878386030,13951725024,16743056543,18835853827"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"190,1482,50694476460,3036,4430,13398625911","8412,23498,73128036400,111377356535,4576,10407","9501,77409220886,174015606379,1788,65358493641,8193","66165,56239,222687928558,3607,8144,179828458108","32546,2012,286198201301,7154,309999356825,9358","269387,129325,1474861291758,883635022411,31817,28248"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"38874174885,49315200008,46268047918,51048458702,77631913847,130755854499","131232419804,128280397354,128175493698,160975864398,167149868077,250396016410","167142958445,234873252226,206962217810,200491218723,208677785156,278530745540","495517265627,491319550857,825808091141,525464900388,650290025837,981049615142","349498529228,386059505450,412178535706,446934645745,467538583409,649783528582","1188195316724,1103820422676,1419916602946,1401419325834,1887900392110,2070480039724"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"4040264638,5541292358,7770478470,9355898725,16872588195,56954755874","15329182160,64300471026,18051223448,90088501770,32697031031,107247435265","19607640627,29831608306,230096187414,175243807936,39907902787,65115489919","46002153302,51238892202,274357980551,65230170088,118482400879,240064957594","29925136822,50064544963,66876395953,365202578004,73943333706,131480978589","125701910775,103567382039,908874872411,132400983569,298569672555,530356346486"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"2810588798,4558158651,6074525374,24586161066,9642953228,43486079209","10520854158,11153682100,15004750266,14642703024,69748860606,143963252067","13819067026,21265108327,67477804013,110886618472,27863561674,45319611370","29966880766,449346345701,543437900655,54284150511,90641441346,177831904035","18697909121,40614780812,47780462776,456676277469,59477280818,93149559009","85660794171,76806637119,121955919671,98249719360,273561746798,663855575166"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"3859663387,6156788072,47893835939,28041606388,27163554350,78132143308","15979724171,16267933012,19883853298,22125083846,41961642107,98457522493","20306123797,26965329751,30420012749,207138751538,50246270945,104914109149","48752338518,61906283699,85769249826,210055592857,337633479693,364698963402","30776690539,58415417562,323348914635,102745703339,115108022884,501277622192","139392785091,152506851385,1074266014487,885693042187,438612303977,1699487896360"
CYCLE_ACTIVITY:STALLS_L2_MISS,"2900140324,4579019632,6331329071,7513513569,14808201414,52086878665","11035199166,11597657956,48745624515,118243229451,27759977179,55976185228","14396848489,19796663195,23677574988,46318302699,31339133214,58694337607","31477759795,39643619532,264736453241,596874826643,103770723539,218333080783","20931762044,40369663240,416043752288,74213815682,65057555947,117817044597","89570361555,538341111910,888145163458,1128718568065,708686577315,489682792190"
CYCLE_ACTIVITY:STALLS_L3_MISS,"2511643336,4314852608,5145309161,53625776488,7311137281,38653784777","9410263301,10363363589,13091292353,106574000314,86470778286,44488926156","12395883375,20173614577,17301386308,68426746756,24993239527,41158851583","26644497109,34391852795,399794508846,52881022705,86734315872,178955194757","16710571375,349935885051,97721859795,57456048247,55345516805,203162737312","75162291582,558805956919,114298210567,474577582718,244778393245,381442126776"
RESOURCE_STALLS,"17895503307,46640928697,63052538122,27560269814,48240073818,115312265617","60585158277,176214011996,78131047397,106700954497,175372783062,166840493729","78131816621,142887280897,92612678322,226451059961,139356672152,195604320720","223564201569,401524826737,269111719449,521448724258,515845273974,594328997427","156912493450,195761446025,484630347523,255256190341,503945547559,430900377305","538923536644,520620008708,584200037129,581294297549,1187053983829,1453603881387"
