,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"229954,426779,680549,12471965764,15748468597,28004741404,6249284451,52815500233","2141857,3187268,40327748131,6375431,64878224983,121835145161,187470910747,41465127785","378201,651120,920117,1161603,1680997,14934013732,20901904727,7013914310","3506778,4563173,6522623,242934527041,11451710,37611561303,218820792896,369156422968","487029,17014654184,1101178,50823144733,2012938,39724582383,57439743590,19855331555","4935246,6507713,30133723411,427947842450,340725397411,556314772823,242306659120,600194534100"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"125310339,57962441,1390089893,6917624500,9808842842,16006712897,14699105020,6645173277","531836916,270261984,210390991,144389092415,105395668638,227461115778,17593860166,289138709715","204635793,109427449,21853345007,107239956,19489117185,35737036145,5716530734,12363582071","906346523,522630624,524764607,188167075620,161213133977,669469339,174388394412,573639232","333931937,202635241,206654811,211234281,39947907895,24667688019,24784356776,471669953877","1390780733,126107707867,918378837,935151081,572838752398,1033818251,43063898134,378354743883"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"7282364,12999618,10349095,11620805,17436050202,19937484,14489430457,22720513697","82159838,93942468,100801240,128353290889,83908826577,78647155881,174129078,364582372874","18835586,22835616,27191306,30605305,11600644101,65185851480,34122300744,36834268378","156076992,158582892,109605128640,166504225421,161845857710,212964735523,64605074657,81994073094","35863301,41237529,9334962589,20636445972,28343429034,59163832611,54598871,26294356700","257149010,256401297,240464973,335639416,266438115276,273268185343,657420168440,479644463104"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"8930709,4767686384,1368178059,6932338084,12397620413,18474482356,20183006272,37026254335","113688877,86566846,59888272,69445799,65130707082,151633035487,87925736,177761679277","15442181,11279765,14112282,17900062988,9751250986,44990181110,21818931903,4918704524","206878799,90185238588,109992358605,112161621,119519851,431708594557,196321444451,506857260114","23039223,6266359017,20751019,23817227,66611619963,15595720547,87473327293,49606977562","263131770,211456732,133926419,146940727,160604876,48450915561,230852188981,538121611421"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"208719,2470684737,9327397112,6221260384,10066860269,29034444988,7442110770,6591478","1099934,79432902718,30136792,37523410,94452450550,234421299119,178848754880,116480367547","394426,3798862001,6281829,6816237308,23085113208,31532890708,39051093015,224534902228","1589181,19601395,34727222,40132379,326654623864,429918743949,332628940571,534673086719","584595,5040892,3155676153,2925341561,10449840,66272731079,29341344471,33836496586","2424858,188472549988,305018572295,61735499,66278381,221957832706,58507721,155760630979"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"3163239157,3842829939,8726813140,3943665707,11046172460,26830718442,4766740449,43616182406","43549201805,53218639083,114469546996,64790184282,126119224173,205053568186,194816111033,286426570328","5294712169,6429295548,23934707549,25167561152,14060106570,65387319558,22130891602,9860452759","73926003993,90338031585,90477497858,232375478454,212582910000,93520870008,286262626408,388701168724","7426150046,12652858102,9093443867,9272992021,64075000965,26451700364,15022342580,73558486195","104303044319,127476349379,127640594463,438983360663,130398437326,271928348007,293353997578,76441380041"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"1267,13148,12710587633,56302,191820,4735707441,20793609459,193569","15764,6305,79498198030,280591,178211681330,75956559567,71018618773,334884154895","374,18690,11575,32540508982,12515687666,8505657028,9606250325,34022354147","32502,22911,36824,530178,408407107129,376754857824,120676799020,246776714313","863,17482398117,6445160688,21416453355,28089678347,487901,47663297320,22339635858","425441,67126,244271565639,877967,316724598569,3037185,124689539052,187282392036"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"297301371,302425041,308762016,314819464,22372165768,1577049639,15885254679,3748986771","3424402733,55519164796,94310436924,174175824448,59933767337,22966566056,81442559158,54279901330","496230814,503590457,512953447,22412983600,536651213,44095644435,40686248718,51521236919","5796396448,5842033752,134706574352,253406504202,154218674895,191857438601,397485644290,542709384353","695134978,704860544,25791942471,57900755784,43176721117,12720983457,9811946341,48381218576","8168388480,8233618814,8268872276,8314547408,8412067870,387823383209,212290023091,592298624367"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"244,1062,836,1313,9922478488,8659540007,19639942482,2647252705","2944,908,1110,7399,14595,154377023441,114007768737,33515","271,523,1060,15132441257,4698,4121372599,16798823862,9459061936","3405,89119414462,87728057903,351786457232,24883,48257,128458362212,160625890803","143,646,1030,37824415405,27877300078,8771831672,23106,28165","16823,7068,4804,26198,57339,66924,364340,247199843587"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"3871903072,6315854427,13103713565,12306804032,18790122051,32222520015,16363819578,59881087026","44074750618,76580181766,107612980730,213958284116,229280426187,283057611499,304397737289,419201273581","7247728019,10887358714,17411901996,27315747564,31226520733,36893702765,61552073265,58713858769","77283422285,127246730173,181534739334,385686298446,469788675628,733767131760,382778194701,744077994339","11071665359,19097704521,20707241311,36050560449,47188255614,87210471992,86649584601,100926545983","104657641368,209161174466,329159784357,414651144321,534745713169,632740351058,781402968185,690121966311"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"2068472274,2375329004,9547385941,5366920961,8636677874,13192233387,22326839916,123133983876","18527170721,19754630400,28690651724,50461001426,219000842531,142537913772,103385512328,239828106052","4045123958,4191047442,7133046959,11860729600,15581210121,34628138483,47781617771,50995840156","33685280223,32652487556,50597483531,210148735468,318610784757,230194470649,212830339172,391238365166","6679716375,11063400244,28252367829,43579224812,26216840737,74009542354,49226681524,30245113570","46535150442,53161918388,74099511380,130596783052,240618709235,374469743370,448805509924,500529731581"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"843577215,3548446603,1678275278,3305644564,13277674093,29497706636,24271165031,43849871796","11413798546,14386054893,22490724372,88151188587,48273831669,96972532358,90537618641,251218067153","1847186167,2533814438,9007715815,7557945315,8402857295,10927191656,11853048083,22277726056","22019958194,60728435454,38791875339,75505565664,255692748601,421689154274,346874848949,755020737619","3219645607,13817962764,5880920932,28833516643,63644793620,34214246091,18131746958,14402786669","28831225876,148515363003,205629490686,206202502753,122338699181,138293278954,336345384780,393821260370"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"2632735047,3565663058,9582695043,16457088359,24572535236,16949227730,16788735467,41927074789","29516393783,56870463425,122396814555,128442382863,252947824238,261977070908,185511974542,287500886652","4889232660,6239051297,24023249809,31276746332,49442577405,28529862312,67225069932,52723278060","55754270029,67718985088,119998526875,264195174676,573139739410,603765900400,482952622018,828731911448","7602669747,19877681129,21332019789,28688000002,39155178557,95882434742,59444790728,109766533779","72782614878,107464568414,190363104085,320907365827,437466680078,654732666523,561380984452,584389192961"
